Page Count, Touch Count, Fault Count, Extra Faults
4096, 240, 240, 0
4096, 241, 241, 0
4096, 242, 242, 0
4096, 243, 243, 0
4096, 244, 244, 0
4096, 245, 245, 0
4096, 246, 246, 0
4096, 247, 247, 0
4096, 248, 248, 0
4096, 249, 249, 0
4096, 250, 250, 0
4096, 251, 251, 0
4096, 252, 252, 0
4096, 253, 253, 0
4096, 254, 254, 0
4096, 255, 255, 0
4096, 256, 256, 0
4096, 257, 257, 0
4096, 258, 258, 0
4096, 259, 259, 0
4096, 260, 260, 0
4096, 261, 261, 0
4096, 262, 262, 0
4096, 263, 263, 0
4096, 264, 264, 0
4096, 265, 265, 0
4096, 266, 266, 0
4096, 267, 267, 0
4096, 268, 268, 0
4096, 269, 269, 0
4096, 270, 270, 0
4096, 271, 271, 0
4096, 272, 272, 0
4096, 273, 273, 0
4096, 274, 274, 0
4096, 275, 275, 0
4096, 276, 276, 0
4096, 277, 277, 0
4096, 278, 278, 0
4096, 279, 279, 0
4096, 280, 280, 0
4096, 281, 281, 0
4096, 282, 282, 0
4096, 283, 283, 0
4096, 284, 284, 0
4096, 285, 285, 0
4096, 286, 286, 0
4096, 287, 287, 0
4096, 288, 288, 0
4096, 289, 289, 0
4096, 290, 290, 0
4096, 291, 291, 0
4096, 292, 292, 0
4096, 293, 293, 0
4096, 294, 294, 0
4096, 295, 295, 0
4096, 296, 296, 0
4096, 297, 297, 0
4096, 298, 298, 0
4096, 299, 299, 0
4096, 300, 300, 0
4096, 301, 301, 0
4096, 302, 302, 0
4096, 303, 303, 0
4096, 304, 304, 0
4096, 305, 305, 0
4096, 306, 306, 0
4096, 307, 307, 0
4096, 308, 308, 0
4096, 309, 309, 0
4096, 310, 310, 0
4096, 311, 311, 0
4096, 312, 312, 0
4096, 313, 313, 0
4096, 314, 314, 0
4096, 315, 315, 0
4096, 316, 316, 0
4096, 317, 317, 0
4096, 318, 318, 0
4096, 319, 319, 0
4096, 320, 320, 0
4096, 321, 321, 0
4096, 322, 322, 0
4096, 323, 323, 0
4096, 324, 324, 0
4096, 325, 325, 0
4096, 326, 326, 0
4096, 327, 327, 0
4096, 328, 328, 0
4096, 329, 329, 0
4096, 330, 330, 0
4096, 331, 331, 0
4096, 332, 332, 0
4096, 333, 333, 0
4096, 334, 334, 0
4096, 335, 335, 0
4096, 336, 336, 0
4096, 337, 337, 0
4096, 338, 338, 0
4096, 339, 339, 0
4096, 340, 340, 0
4096, 341, 341, 0
4096, 342, 342, 0
4096, 343, 343, 0
4096, 344, 344, 0
4096, 345, 345, 0
4096, 346, 346, 0
4096, 347, 347, 0
4096, 348, 348, 0
4096, 349, 349, 0
4096, 350, 350, 0
4096, 351, 351, 0
4096, 352, 352, 0
4096, 353, 353, 0
4096, 354, 354, 0
4096, 355, 355, 0
4096, 356, 356, 0
4096, 357, 357, 0
4096, 358, 358, 0
4096, 359, 359, 0
4096, 360, 360, 0
4096, 361, 361, 0
4096, 362, 362, 0
4096, 363, 363, 0
4096, 364, 364, 0
4096, 365, 365, 0
4096, 366, 366, 0
4096, 367, 367, 0
4096, 368, 368, 0
4096, 369, 369, 0
4096, 370, 370, 0
4096, 371, 371, 0
4096, 372, 372, 0
4096, 373, 373, 0
4096, 374, 374, 0
4096, 375, 375, 0
4096, 376, 376, 0
4096, 377, 377, 0
4096, 378, 378, 0
4096, 379, 379, 0
4096, 380, 380, 0
4096, 381, 381, 0
4096, 382, 382, 0
4096, 383, 383, 0
4096, 384, 384, 0
4096, 385, 385, 0
4096, 386, 386, 0
4096, 387, 387, 0
4096, 388, 388, 0
4096, 389, 389, 0
4096, 390, 390, 0
4096, 391, 391, 0
4096, 392, 392, 0
4096, 393, 393, 0
4096, 394, 394, 0
4096, 395, 395, 0
4096, 396, 396, 0
4096, 397, 397, 0
4096, 398, 398, 0
4096, 399, 399, 0
4096, 400, 400, 0
4096, 401, 401, 0
4096, 402, 402, 0
4096, 403, 403, 0
4096, 404, 404, 0
4096, 405, 405, 0
4096, 406, 406, 0
4096, 407, 407, 0
4096, 408, 408, 0
4096, 409, 409, 0
4096, 410, 410, 0
4096, 411, 411, 0
4096, 412, 412, 0
4096, 413, 413, 0
4096, 414, 414, 0
4096, 415, 415, 0
4096, 416, 416, 0
4096, 417, 417, 0
4096, 418, 418, 0
4096, 419, 419, 0
4096, 420, 420, 0
4096, 421, 421, 0
4096, 422, 422, 0
4096, 423, 423, 0
4096, 424, 424, 0
4096, 425, 425, 0
4096, 426, 426, 0
4096, 427, 427, 0
4096, 428, 428, 0
4096, 429, 429, 0
4096, 430, 430, 0
4096, 431, 431, 0
4096, 432, 432, 0
4096, 433, 433, 0
4096, 434, 434, 0
4096, 435, 435, 0
4096, 436, 436, 0
4096, 437, 437, 0
4096, 438, 438, 0
4096, 439, 439, 0
4096, 440, 440, 0
4096, 441, 441, 0
4096, 442, 442, 0
4096, 443, 443, 0
4096, 444, 444, 0
4096, 445, 445, 0
4096, 446, 446, 0
4096, 447, 447, 0
4096, 448, 448, 0
4096, 449, 449, 0
4096, 450, 450, 0
4096, 451, 451, 0
4096, 452, 452, 0
4096, 453, 453, 0
4096, 454, 454, 0
4096, 455, 455, 0
4096, 456, 456, 0
